area_sqft,bedrooms,bathrooms,house_age,location_score,price
1552.0,1,3,11,-5.326339294760126,250157.0
1187.0,1,2,30,7.8,190000.0
1583.0,2,1,16,9.1,243565.0
2138.0,3,3,32,8.5,337969.0
1731.0,1,3,10,2.8,215839.0
2305.0,4,1,27,5.0,342445.0
1707.0,1,1,31,2.8,209787.0
1084.0,4,2,0,3.4,187477.0
2099.0,2,2,46,5.5,302721.0
1463.0,1,2,27,1.6,186527.0
1683.0,5,1,41,3.0,256271.0
2419.0,2,3,6,9.4,385964.0
1220.0,4,3,1,5.2,223650.0
1882.0,2,2,41,5.0,267112.0
4016.3862742215033,1,1,23,1.1,222108.0
2150.0,3,3,3,3.2,316534.0
2228.0,3,2,43,8.8,313414.0
1932.0,4,3,18,2.5,282734.0
1620.0,4,3,25,4.7,238577.0
2037.0,3,1,10,1.1,262458.0
2468.0,4,1,39,5.3,315016.0
1786.0,2,3,49,1.2,238679.0
1666.0,5,2,42,8.4,302494.0
1994.0,5,1,10,8.4,316438.0
-317.2662742215034,2,3,44,8.1,289657.0
1131.0,5,1,2,3.6,215805.0
1920.0,1,1,11,8.5,264513.0
1127.0,2,1,2,5.9,171183.0
1987.0,4,3,41,4.4,308902.0
4016.3862742215033,2,2,26,6.6,217335.0
1818.0,3,2,48,1.1,221098.0
1995.0,4,2,1,2.3,284947.0
3027.0,3,1,48,7.7,418835.0
2171.0,4,3,15,3.2,308611.0
2482.0,5,1,1,6.4,333822.0
2736.0,2,2,29,4.5,362390.0
2045.0,1,2,19,8.7,297685.0
1943.0,4,3,37,9.6,316498.0
1267.0,4,1,27,9.0,243123.0
1742.0,3,2,24,3.4,253243.0
1438.0,5,3,31,2.7,235304.0
1599.0,3,1,9,5.3,260613.0
2735.0,3,1,41,1.1,347455.0
1857.0,5,2,39,1.2,297288.0
1362.0,1,2,32,6.0,181684.0
4016.3862742215033,3,1,12,5.7,338128.0
2278.0,3,1,40,10.0,346569.0
2304.0,4,2,41,2.8,336895.0
797.0,5,1,46,3.3,136728.0
2774.0,2,2,36,2.0,341321.0
1521.0,1,1,15,9.3,263435.0
2189.0,1,2,44,8.0,293194.0
3062.0,5,3,21,8.4,464126.0
2878.0,4,2,19,9.1,446972.0
1311.0,4,2,49,5.7,203596.0
1078.0,5,3,42,5.1,186728.0
2515.0,4,1,26,4.0,341095.0
1871.0,1,3,40,6.3,279543.0
1550.0,1,2,15,5.1,241402.0
2111.0,2,1,33,5.1,288126.0
1719.0,5,3,31,9.4,327126.0
2151.0,3,1,25,9.9,328099.0
1833.0,3,1,24,8.2,300745.0
2161.0,2,3,1,7.8,325440.0
1353.0,2,1,11,7.1,250466.0
2512.0,4,3,39,2.5,371892.0
2149.0,2,2,8,1.5,288260.0
2123.0,2,1,11,7.2,329878.0
1241.0,3,2,25,7.6,233680.0
2650.0,4,2,8,1.4,389096.0
1793.0,2,1,9,9.4,243330.0
2164.0,2,3,31,1.8,301070.0
1639.0,4,1,33,3.6,247614.0
1930.0,5,2,47,7.1,307366.0
4016.3862742215033,4,2,19,-5.326339294760126,286055.0
400.0,3,3,38,1.5,86017.0
2091.0,5,1,1,4.0,335767.0
2783.0,1,2,0,7.9,401552.0
2070.0,4,2,35,4.7,305154.0
1321.0,3,2,23,6.9,236911.0
2125.0,5,3,26,6.2,339870.0
2330.0,4,2,1,1.2,336904.0
2056.0,2,2,30,9.9,340226.0
1763.0,4,1,13,1.4,244843.0
1679.0,1,1,1,9.7,240844.0
1677.0,4,2,28,5.9,264625.0
2149.0,5,2,14,9.7,355998.0
1096.0,5,1,11,-5.326339294760126,193943.0
1614.0,4,3,36,5.4,257890.0
-317.2662742215034,5,3,27,2.5,382787.0
2617.0,2,3,19,1.5,385509.0
1061.0,4,3,38,6.6,207143.0
1234.0,2,3,23,15.680339294760127,202040.0
1665.0,2,3,20,6.3,255357.0
2246.0,3,3,9,2.0,297141.0
886.0,4,3,45,4.0,123848.0
1773.0,5,1,13,8.0,285780.0
1563.0,2,3,36,4.9,192954.0
2463.0,3,3,17,6.6,371463.0
962.0,4,3,23,6.8,184498.0
1846.0,4,2,13,8.6,283619.0
1603.0,1,1,33,3.9,214623.0
2535.0,1,1,11,-5.326339294760126,338721.0
2099.0,2,1,21,9.7,320742.0
1507.0,1,3,5,7.6,253454.0
2227.0,2,3,35,5.4,303712.0
1606.0,5,2,44,6.7,257061.0
2300.0,2,1,35,7.7,325723.0
1681.0,1,3,21,-5.326339294760126,230714.0
2327.0,5,1,13,1.2,329262.0
2018.0,1,2,15,2.8,248695.0
3430.0,2,2,35,8.3,475586.0
1774.0,3,2,24,3.5,250253.0
1991.0,4,1,31,7.6,280972.0
1560.0,1,3,32,4.3,213200.0
1801.0,2,3,44,5.7,252955.0
449.0,5,2,35,15.680339294760127,115908.0
2033.0,1,3,19,2.6,277960.0
2471.0,1,2,17,9.6,343376.0
1998.0,4,1,37,-5.326339294760126,332696.0
1143.0,2,2,2,6.9,208257.0
1399.0,3,1,22,5.1,209535.0
585.0,5,2,31,7.1,121992.0
2289.0,2,3,44,6.6,317711.0
1297.0,5,3,15,6.1,234832.0
1786.0,1,2,4,1.5,245755.0
1723.0,4,3,3,6.7,298169.0
2544.0,4,3,20,7.9,398879.0
1843.0,3,3,39,9.9,272888.0
2204.0,4,1,13,1.1,305908.0
2073.0,1,3,38,7.6,295166.0
2480.0,3,1,30,6.1,386270.0
1680.0,2,2,13,4.9,249870.0
2735.0,4,3,5,2.1,377360.0
807.0,3,3,11,4.7,159596.0
2229.0,1,3,15,4.2,308351.0
4016.3862742215033,5,2,16,3.7,198304.0
1554.0,5,1,44,7.6,259005.0
2085.0,1,1,22,7.3,287242.0
2081.0,1,3,13,6.3,301620.0
2103.0,5,2,6,9.4,335856.0
1107.0,3,2,45,4.1,154931.0
2525.0,5,2,31,3.2,371783.0
1350.0,1,2,14,6.9,227527.0
1416.0,4,2,43,2.8,216991.0
2119.0,2,1,16,3.8,261718.0
1657.0,4,1,40,15.680339294760127,243086.0
1954.0,4,1,46,1.6,235141.0
722.0,1,3,43,-5.326339294760126,127522.0
-317.2662742215034,5,2,33,3.3,301323.0
1909.0,3,3,4,15.680339294760127,305844.0
1545.0,4,2,44,1.4,225655.0
763.0,5,1,26,7.3,183354.0
1694.0,3,3,22,4.0,264880.0
1781.0,4,1,39,7.7,244335.0
1616.0,3,2,13,4.7,242677.0
882.0,5,2,14,2.8,165616.0
2597.0,2,2,42,5.6,348459.0
1481.0,5,1,32,2.2,212663.0
1689.0,1,2,30,5.0,220228.0
595.0,3,1,34,3.9,143311.0
2597.0,2,3,16,9.2,379409.0
1567.0,3,2,27,1.5,256014.0
1849.0,3,2,18,7.2,269561.0
2360.0,4,2,45,2.6,332056.0
1462.0,1,3,22,3.9,215585.0
2282.0,3,2,31,15.680339294760127,307111.0
769.0,5,1,39,9.2,161667.0
2075.0,5,1,12,3.2,305973.0
2586.0,4,2,19,1.8,343058.0
1510.0,1,2,34,3.9,203258.0
2359.0,1,3,4,1.9,281506.0
2717.0,5,3,8,2.2,402513.0
1673.0,2,3,28,6.2,272967.0
1631.0,4,2,5,1.5,252035.0
1351.0,4,3,24,1.3,242984.0
1545.0,5,3,30,7.4,278631.0
-317.2662742215034,5,1,21,4.3,243282.0
1350.0,2,3,1,15.680339294760127,224675.0
2399.0,2,1,44,3.3,267515.0
1405.0,1,1,4,6.8,221355.0
1929.0,4,3,26,3.5,267836.0
1819.0,4,1,24,5.5,256466.0
2549.0,5,2,7,2.1,350475.0
1548.0,1,2,0,6.3,232569.0
1991.0,4,3,19,3.8,310077.0
2196.0,1,2,43,6.6,305830.0
2545.0,1,1,22,8.3,351911.0
1541.0,5,2,31,6.5,267860.0
1491.0,1,3,10,3.7,231172.0
1269.0,2,3,38,3.3,194219.0
2918.0,2,1,46,3.9,347392.0
2492.0,3,3,23,2.5,333250.0
1779.0,5,2,10,2.6,274875.0
2766.0,3,3,28,8.1,414222.0
1749.0,2,1,25,4.5,224451.0
2162.0,3,3,15,4.9,319770.0
1805.0,5,2,34,6.3,263016.0
1999.0,5,1,19,6.3,325169.0
1946.0,1,2,45,1.6,247155.0
4016.3862742215033,4,1,2,8.5,250068.0
2346.0,1,3,0,2.6,300229.0
2158.0,5,1,46,7.5,329871.0
2314.0,2,1,0,8.0,360302.0
1960.0,2,3,16,7.4,283348.0
1347.0,1,2,1,6.2,224039.0
2655.0,5,3,28,1.1,362766.0
1669.0,2,1,19,4.2,248028.0
1982.0,5,3,5,6.4,336088.0
2118.0,2,1,7,4.5,298189.0
1979.0,5,3,28,8.8,300764.0
2258.0,3,3,47,3.8,323378.0
2337.0,5,2,32,3.6,345170.0
1688.0,5,1,2,3.4,270916.0
2613.0,1,2,34,4.0,342895.0
1667.0,3,1,4,6.0,245258.0
1968.0,4,3,26,7.4,329004.0
1606.0,1,1,43,7.0,237992.0
1463.0,4,2,11,8.3,240529.0
2322.0,2,2,19,9.0,363754.0
3361.0,4,2,44,8.3,473195.0
1619.0,5,1,19,1.2,240617.0
2408.0,4,2,8,7.6,365115.0
1637.0,1,2,38,2.9,214570.0
1795.0,1,2,3,2.2,265763.0
2679.0,4,3,18,15.680339294760127,413276.0
1263.0,1,3,37,3.9,197438.0
1131.0,1,1,26,1.5,149588.0
1756.0,4,1,44,2.2,255458.0
4016.3862742215033,3,2,42,1.0,267525.0
2032.0,3,3,12,9.1,335292.0
1980.0,2,2,12,1.2,264498.0
-317.2662742215034,1,2,21,2.9,213243.0
2193.0,4,3,27,4.7,302068.0
-317.2662742215034,1,3,46,4.2,66655.0
1425.0,5,3,44,9.2,263627.0
1753.0,1,1,21,1.4,213029.0
2152.0,1,1,42,5.6,274573.0
2545.0,3,2,18,7.1,381149.0
1357.0,4,1,7,9.4,236715.0
2529.0,1,3,7,6.6,379642.0
1574.0,3,3,41,8.2,272957.0
1735.0,2,1,25,1.8,229528.0
2091.0,3,2,47,4.5,301922.0
1698.0,3,2,25,4.4,261019.0
2355.0,3,1,22,-5.326339294760126,345115.0
1598.0,1,2,42,2.4,219885.0
1605.0,1,2,12,2.4,234934.0
2326.0,2,2,27,4.0,302033.0
1418.0,5,3,8,1.5,234763.0
1924.0,5,3,19,2.6,296418.0
970.0,5,1,18,9.7,216444.0
2710.0,2,3,47,4.9,358242.0
2403.0,5,2,38,6.7,349694.0
3175.0,5,3,11,7.5,474635.0
2469.0,3,1,14,15.680339294760127,359900.0
1235.0,1,3,30,2.3,155709.0
2134.0,1,2,13,2.9,270008.0
1341.0,3,2,10,15.680339294760127,204112.0
2589.0,3,1,25,6.7,359041.0
1249.0,3,3,41,4.6,171996.0
1225.0,1,3,26,1.1,190573.0
4016.3862742215033,5,3,10,5.7,199945.0
1556.0,3,2,37,9.3,250218.0
1455.0,2,1,33,8.3,249240.0
1169.0,3,3,42,8.4,218247.0
2795.0,4,2,18,8.2,405169.0
2065.0,3,2,5,3.9,303769.0
2006.0,1,2,45,7.9,281594.0
2595.0,3,3,37,2.3,371825.0
1928.0,4,3,48,6.9,294149.0
1426.0,2,3,41,6.8,201089.0
950.0,5,3,27,1.2,139042.0
1397.0,3,3,0,8.1,272267.0
2553.0,4,3,34,9.1,376431.0
1172.0,4,3,39,3.4,202093.0
1977.0,2,3,7,8.3,311016.0
2317.0,1,3,46,1.7,287890.0
1943.0,3,2,6,6.4,294862.0
1999.0,4,3,10,5.4,336631.0
2128.0,2,1,38,15.680339294760127,269939.0
1990.0,5,2,3,9.3,330303.0
2605.0,4,3,24,8.8,410598.0
1280.0,2,1,11,8.1,192453.0
1920.0,1,3,25,3.5,283659.0
891.0,1,1,37,9.2,165504.0
763.0,4,1,45,1.9,125137.0
1759.0,4,1,11,8.7,280633.0
2072.0,3,1,42,4.0,260667.0
2615.0,2,2,36,1.5,345506.0
3010.0,4,2,45,7.0,463430.0
2460.0,3,1,23,3.1,333688.0
2164.0,3,3,15,3.2,284289.0
1880.0,4,1,12,3.8,284663.0
1034.0,1,2,24,1.6,155384.0
1727.0,2,3,3,2.6,239272.0
2445.0,2,2,10,1.0,312717.0
2249.0,1,2,31,5.0,291269.0
1157.0,4,3,48,1.8,170670.0
2107.0,2,1,6,7.1,305358.0
2064.0,4,1,45,3.1,270266.0
1975.0,4,1,10,9.5,299962.0
1786.0,3,1,27,8.8,280136.0
2133.0,1,3,40,3.6,281220.0
2149.0,4,3,22,8.0,332536.0
4016.3862742215033,5,3,44,8.2,260128.0
2028.0,1,2,22,9.9,281257.0
1705.0,2,3,49,6.4,254948.0
1056.0,3,1,27,1.7,148185.0
1519.0,2,2,42,6.8,231072.0
1018.0,2,1,46,6.6,164755.0
2290.0,1,1,25,6.7,329267.0
1978.0,2,3,24,3.8,282304.0
1622.0,4,3,28,8.7,292941.0
2510.0,2,1,18,9.6,359171.0
